WP#;Latitude;Longitude;Height;Heading;Time @ WP; Desired pos. accuracy;Flags;
1;39.3263891;-76.6213595;5.459;0.000;0.50;3.000;23;
2;39.3264490;-76.6213595;5.459;0.000;0.50;3.000;23;
3;39.3265090;-76.6213595;5.459;0.000;0.50;3.000;23;
4;39.3265689;-76.6213595;5.459;0.000;0.50;3.000;23;
5;39.3266289;-76.6213595;5.459;0.000;0.50;3.000;23;
6;39.3266888;-76.6213595;5.459;0.000;0.50;3.000;23;
7;39.3267488;-76.6213595;5.459;0.000;0.50;3.000;23;
8;39.3268087;-76.6212819;12.126;0.000;0.50;3.000;23;
9;39.3268687;-76.6212819;12.126;0.000;0.50;3.000;23;
10;39.3269286;-76.6212819;12.126;0.000;0.50;3.000;23;
11;39.3269886;-76.6212819;12.126;0.000;0.50;3.000;23;
12;39.3270486;-76.6212819;12.126;0.000;0.50;3.000;23;
13;39.3271085;-76.6212819;12.126;0.000;0.50;3.000;23;
14;39.3271685;-76.6212044;18.793;0.000;0.50;3.000;23;
15;39.3272284;-76.6212044;18.793;0.000;0.50;3.000;23;
16;39.3272884;-76.6212044;18.793;0.000;0.50;3.000;23;
17;39.3273483;-76.6212044;18.793;0.000;0.50;3.000;23;
18;39.3274083;-76.6212044;18.793;0.000;0.50;3.000;23;
19;39.3274682;-76.6212044;18.793;0.000;0.50;3.000;23;
20;39.3275282;-76.6212044;18.793;0.000;0.50;3.000;23;
21;39.3275881;-76.6212044;18.793;0.000;0.50;3.000;23;
22;39.3276481;-76.6212044;18.793;0.000;0.50;3.000;23;
23;39.3277081;-76.6211269;25.459;0.000;0.50;3.000;23;
24;39.3277680;-76.6211269;25.459;0.000;0.50;3.000;23;
25;39.3278280;-76.6211269;25.459;0.000;0.50;3.000;23;
26;39.3278879;-76.6211269;25.459;0.000;0.50;3.000;23;
27;39.3279479;-76.6211269;18.793;0.000;0.50;3.000;23;
28;39.3280078;-76.6211269;12.126;0.000;0.50;3.000;23;
29;39.3280678;-76.6211269;12.126;0.000;0.50;3.000;23;
